@relation anime_rating

@attribute Director {A, B, C, D, E, F}
@attribute Storyboard {A, B, C, D, E, F}
@attribute CharacterDesign {A, B, C, D, E, F}
@attribute SoundDirector {A, B, C, D, E, F}
@attribute Producer {A, B, C, D, E, F}
@attribute AnimationProducer {A, B, C, D, E, F}
@attribute VoiceActor {A, B, C, D, E, F}
@attribute Class {A, B, C, D, E, F}

@data
D, D, D, D, D, D, F, D
B, B, B, B, B, B, E, B
B, B, B, B, B, B, E, B
D, C, C, B, B, C, C, C
B, B, C, C, B, C, C, B
B, B, B, C, B, B, B, B
C, B, C, C, C, C, C, C
C, C, C, B, C, C, C, C
C, C, C, C, C, C, C, C
C, C, B, C, B, C, B, B
B, B, C, C, C, B, C, C
B, B, B, B, B, C, B, B
B, C, C, C, C, C, F, C
B, C, B, B, B, B, F, B
E, F, F, C, E, F, C, F
D, C, B, C, C, B, C, C
A, C, B, B, B, B, B, A
C, C, B, B, C, C, C, B
C, C, B, B, B, B, B, C
C, C, B, A, B, C, B, B
B, C, B, B, C, C, C, B
B, C, C, C, C, B, F, B
D, D, E, C, E, E, C, E
B, B, A, B, A, A, B, A
D, D, D, C, D, D, C, D
D, D, C, C, C, C, C, C
B, A, B, C, A, C, B, A
C, B, C, B, C, B, B, C
D, C, C, C, C, C, C, C
B, B, C, B, C, B, C, A
B, B, B, B, B, B, B, B
D, D, D, D, C, D, F, D
B, B, C, B, B, B, B, B
D, D, D, C, D, C, C, D
D, B, C, B, D, B, C, D
B, B, C, C, D, C, C, C
D, D, D, C, D, C, C, E
C, C, C, B, C, B, C, D
D, D, D, C, C, C, C, D
B, B, A, B, B, C, B, A
E, D, B, C, C, C, C, D
C, C, D, D, D, C, C, D
B, C, C, C, C, C, F, C
B, B, B, A, B, B, C, B
C, C, C, C, C, C, C, C
C, C, C, B, C, C, C, D
C, C, C, C, C, B, C, C
C, C, C, C, C, C, F, C
C, C, E, C, C, C, F, C
C, C, C, C, C, C, F, C
B, C, B, D, B, C, B, B
D, C, D, C, D, D, F, D
B, B, B, B, C, C, B, B
B, B, A, A, B, C, B, A
A, A, B, B, B, B, B, A
C, C, E, E, E, E, F, E
F, C, C, D, D, B, C, D
D, C, C, D, D, D, F, D
B, C, C, C, B, B, C, B
C, C, B, B, C, C, C, C
C, C, B, B, B, C, B, B
C, B, C, C, C, C, C, C
C, B, C, B, B, B, F, B
C, C, C, C, C, C, F, C
C, C, C, B, C, B, B, C
B, B, B, B, B, B, B, B
B, C, B, C, C, B, C, D
C, B, C, C, B, B, B, B
A, A, A, B, B, B, F, A
C, C, B, B, C, B, C, C
B, B, B, C, B, C, B, B
C, D, C, E, E, E, C, E
C, C, C, C, D, B, F, C
F, F, F, D, F, F, F, F
C, C, C, C, C, C, F, C
B, B, B, B, B, B, F, B
B, C, B, C, B, B, C, C
C, C, C, C, B, B, C, C
B, B, B, C, B, C, B, B
D, D, E, D, E, C, C, E
D, C, D, B, C, D, B, D
B, C, C, B, B, C, C, B
D, D, D, B, D, D, F, D
E, C, D, B, E, D, C, E
D, C, C, C, C, C, C, C
A, B, A, B, B, A, B, A
D, E, B, D, E, E, F, E
D, C, D, C, D, D, F, D
D, D, D, C, C, C, C, D
D, E, E, D, C, D, C, E
F, F, D, D, F, F, F, F
C, B, C, B, C, C, F, C
C, C, B, B, C, B, B, C
C, C, B, B, C, B, B, C
C, C, B, B, C, B, B, C
C, C, C, B, C, C, C, C
D, D, D, D, D, C, C, D
C, B, C, C, C, C, F, C
B, B, C, B, B, B, C, B
F, F, F, F, F, F, F, F
C, C, D, B, C, C, C, D
C, C, C, C, C, C, F, C
B, B, B, B, B, B, B, B
D, D, D, D, D, C, C, D
D, C, D, C, D, C, C, D
D, D, C, C, D, C, C, D
D, C, D, C, D, C, C, D
B, C, C, B, C, B, C, C
C, C, C, B, D, D, F, D
B, B, B, A, B, B, B, A
A, C, B, B, B, B, B, A
B, C, E, B, D, C, C, D
C, C, C, C, D, C, C, C
B, B, C, C, C, B, F, B
B, B, B, C, B, B, C, B
C, C, C, D, C, C, C, D
C, C, B, C, B, C, B, B
C, B, C, B, C, C, C, C
B, B, B, B, B, B, F, B
C, C, C, B, C, C, F, C
C, C, C, C, C, B, B, C
D, C, D, C, D, C, C, D
C, C, C, B, C, C, B, C
E, E, E, E, E, E, C, E
D, C, D, C, D, D, C, D
B, C, B, C, B, B, C, B
B, B, C, B, B, C, B, B
D, C, D, C, C, D, F, D
B, B, B, C, B, C, B, B
C, B, B, C, C, C, C, B
B, B, B, C, C, C, B, B
C, C, C, C, C, C, C, C
D, D, F, C, E, F, F, F
B, B, B, C, C, B, C, B
D, C, C, D, C, C, C, C
D, D, E, E, E, E, C, E
B, B, B, C, C, B, B, C
B, C, C, C, C, C, F, C
C, C, C, B, C, C, C, C
C, C, B, B, D, C, C, D
C, C, C, C, C, C, F, C
C, C, C, B, C, B, C, C
C, B, B, B, C, B, C, C
C, C, B, D, B, B, B, B
D, C, C, C, C, C, C, D
D, C, C, D, C, C, C, D
D, C, D, D, D, C, C, D
C, C, D, D, D, D, F, D
D, C, C, C, C, C, C, C
B, B, B, C, B, C, B, B
B, C, C, C, C, C, C, C
B, B, D, C, C, C, C, C
D, D, C, C, D, C, C, D
C, C, D, C, C, C, C, C
C, B, D, B, C, C, B, C
E, E, D, D, E, D, C, E
B, B, B, C, B, B, B, A
C, C, B, C, C, C, C, C
B, C, C, B, B, C, C, C
B, B, B, C, B, B, B, B
